,date,open,close,high,low,code
1335,2015-09-14,13.024,12.172,13.099,11.789,000776
1336,2015-09-15,11.957,11.751,12.322,11.649,000776
1337,2015-09-16,11.836,12.65,12.799,11.742,000776
1338,2015-09-17,12.65,12.444,13.08,12.444,000776
1339,2015-09-18,12.556,12.556,12.799,12.406,000776
1340,2015-09-21,12.397,12.753,12.79,12.313,000776
1341,2015-09-22,12.762,13.277,13.604,12.762,000776
1342,2015-09-23,13.033,12.706,13.146,12.687,000776
1343,2015-09-24,12.846,12.706,12.958,12.509,000776
1344,2015-09-25,12.547,12.21,12.734,12.07,000776
1345,2015-09-28,12.257,12.294,12.36,12.079,000776
1346,2015-09-29,12.088,12.201,12.491,11.901,000776
1347,2015-09-30,12.257,12.257,12.565,12.172,000776
1348,2015-10-08,13.005,12.865,13.192,12.734,000776
1349,2015-10-09,12.837,13.323,13.436,12.837,000776
1350,2015-10-12,13.398,14.081,14.446,13.248,000776
1351,2015-10-13,13.941,14.09,14.203,13.875,000776
1352,2015-10-14,13.941,13.847,14.315,13.763,000776
1353,2015-10-15,13.763,14.296,14.334,13.754,000776
1354,2015-10-16,14.446,14.586,14.839,14.221,000776
1355,2015-10-19,14.661,14.867,15.466,14.521,000776
1356,2015-10-20,14.876,15.101,15.148,14.708,000776
1357,2015-10-21,15.082,14.016,15.138,13.894,000776
1358,2015-10-22,14.128,14.306,14.334,13.81,000776
1359,2015-10-23,14.418,14.708,14.83,14.25,000776
1360,2015-10-26,15.138,15.064,15.644,14.858,000776
1361,2015-10-27,14.876,14.951,15.007,14.25,000776
1362,2015-10-28,14.811,14.455,15.204,14.455,000776
1363,2015-10-29,14.483,14.455,14.783,14.409,000776
1364,2015-10-30,14.455,14.652,15.232,14.109,000776
1365,2015-11-02,14.352,14.203,14.783,14.175,000776
1366,2015-11-03,14.24,14.25,14.474,14.09,000776
1367,2015-11-04,14.362,15.672,15.672,14.343,000776
1368,2015-11-05,16.074,16.748,17.244,16.018,000776
1369,2015-11-06,16.654,18.422,18.422,16.289,000776
1370,2015-11-09,18.6,18.048,19.227,17.973,000776
1371,2015-11-10,17.702,18.647,19.639,17.665,000776
